week,week_number,Afraid,Belgrade,Cash,Censor,China,Emmigration,ExchangeRate,Facebook,Flights,Gas,Immigrate,Invasion,Liar,MartialLaw,McDonalds,Money,News,Nuclear,PoliticalAsylum,Propaganda,Putin,Rouble,Russia,Sanction,Shocked,Soldiers,Sons,Ukraine,Visa,War,Worreid,Yerevan,Z,Bank,Inflation,Nazi,Twitter
3/21/21,1,19,20,84,13,26,13,11,59,19,71,31,17,92,0,21,84,23,28,7,60,19,15,40,11,0,43,79,4,35,12,47,28,19,64,23,11,50
3/28/21,2,18,16,76,13,26,10,14,54,27,59,35,12,63,1,21,76,23,24,1,64,11,14,36,13,42,41,84,4,36,14,0,21,15,60,24,11,47
4/4/21,3,59,13,76,10,28,12,26,54,30,57,29,13,90,1,19,76,22,36,5,57,10,14,25,17,0,54,82,4,34,18,22,26,15,56,23,42,49
4/11/21,4,55,16,82,10,26,14,8,55,73,58,30,13,66,1,23,82,25,32,5,66,11,15,27,17,0,46,89,5,43,21,23,30,16,60,23,11,47
4/18/21,5,70,33,75,9,25,16,13,53,44,68,29,12,68,1,20,75,24,32,7,57,52,14,25,15,82,47,70,3,38,17,88,32,18,57,24,12,46
4/25/21,6,18,27,74,8,25,15,24,55,22,61,20,16,63,0,19,74,24,42,3,56,19,13,25,10,0,55,79,3,44,16,23,31,20,60,27,10,50
5/2/21,7,26,25,70,9,26,8,21,63,24,50,77,29,67,0,22,70,21,41,6,57,12,13,26,13,0,58,75,3,46,13,74,33,19,47,16,12,58
5/9/21,8,44,15,69,12,28,15,23,56,27,57,16,9,80,1,22,69,31,41,9,48,16,13,28,17,0,67,91,3,42,19,71,31,17,53,31,11,49
5/16/21,9,25,22,72,7,28,13,25,53,27,60,10,11,69,0,20,72,23,31,5,59,9,14,32,17,0,41,76,4,43,13,0,34,19,55,32,10,52
5/23/21,10,13,36,72,5,25,12,9,54,50,67,16,12,70,0,26,72,23,33,7,58,10,13,37,17,44,30,86,4,44,11,24,35,16,56,23,12,49
5/30/21,11,26,27,74,11,25,8,12,53,55,57,22,12,56,0,22,74,22,30,3,64,11,13,66,16,0,35,52,3,51,9,0,43,15,57,24,8,51
6/6/21,12,19,25,72,11,24,9,6,52,33,54,27,12,75,0,23,72,22,46,6,65,11,15,72,9,0,32,53,3,47,10,24,44,16,57,27,15,53
6/13/21,13,26,25,71,9,25,12,9,55,37,53,11,13,88,0,21,71,25,48,6,67,20,15,94,13,0,30,56,10,43,8,0,38,18,55,26,17,50
6/20/21,14,7,21,75,14,23,11,9,50,38,63,11,22,74,0,29,75,26,58,5,61,11,13,79,6,0,40,70,7,42,9,25,37,16,56,16,12,52
6/27/21,15,27,26,76,15,22,9,6,50,31,54,11,13,59,1,30,76,28,50,6,63,24,14,35,9,0,31,57,23,45,8,0,38,15,58,17,11,48
7/4/21,16,14,18,74,16,22,12,12,49,45,53,34,9,72,1,24,75,29,42,6,58,12,15,30,7,0,32,59,7,46,11,0,40,17,57,15,13,52
7/11/21,17,27,23,76,17,22,12,12,52,34,53,34,39,68,0,27,76,27,50,2,45,11,14,32,4,0,31,73,3,49,9,0,40,18,57,14,12,57
7/18/21,18,28,21,74,47,28,11,3,48,30,56,12,16,76,0,25,74,26,40,7,63,11,14,23,11,0,32,61,3,49,8,0,43,21,55,14,6,53
7/25/21,19,34,24,73,46,34,9,22,50,29,59,23,23,67,0,24,73,25,41,2,56,10,13,37,8,0,33,51,3,51,8,26,37,22,55,14,12,48
8/1/21,20,14,24,76,25,27,10,9,48,30,54,28,16,54,0,24,76,26,40,10,51,9,13,44,5,0,30,67,3,56,7,0,38,18,54,15,6,54
